*Summary of files opened during simulation

Unit  File
Num.  Variable Name
*DSSAT Cropping System Model Ver. 4.8.5.000   -release    APR 28, 2026; 22:29:28

 Unit  Filename
  501  OPCLR
   21  FILEIO
   14  BATCH 
   25  DSPRO
  502  LUNMFW
  119  OUTINFO
  503  SIMCDE
   22  DTACDE
  123  WARNING.OUT
  504  RUNLST
   11  FILEW
   96  OUTO
  505  FNAMETMP
   23  FILETMP
  506  FVCHECK
  507  OUTS
   92  SEVAL
  508  FILECO2
   52  OUTWTH
  509  FILEF
   13  FILESS
  107  SoilNoBal.OUT
  104  SoilNBalSum.OUT
   64  N2O.OUT   
   63  GHG.OUT   
  106  SoilNiBal.OUT
   43  SoilNi.OUT
   55  Mulch.OUT
  111  SWBAL
   48  OUTWAT
   73  OUTSWL
   47  OUTT
   32  OUTET
   39  PlantGro.OUT
   40  PlantN.OUT
   67  PlantGr2.OUT
   68  PlantGrf.OUT
  510  Leaves.OUT
  511  FILET
